"","StartDate","EndDate","Status","Duration..in.seconds.","RecordedDate","DistributionChannel","Score","FL_4_DO","OrderAB_DO","Order_Group1","Order_Group2","Order","Q1","Q2","Q3","Q4","Q5","Q6","Q1num","Q2num","Q3num","Q4num","Q5num","Q6num","z12","z34","z35","z36","z46","z56","logduration","efficiency"
"102","4/11/2024 9:07","4/11/2024 9:13","IP Address",352,"4/11/2024 9:13","anonymous",3,"OrderFDCE","Question A |Question B ","AB","FDCE","ABFDCE","A","B","F","D","C","E",1,2,6,4,3,5,1,-1,1,-1,-1,-1,5.8636311755981,0.511628359656164
"103","4/11/2024 10:17","4/11/2024 10:22","IP Address",266,"4/11/2024 10:22","anonymous",6,"OrderCDEF","Question A |Question B ","AB","CDEF","ABCDEF","A","B","C","D","E","F",1,2,3,4,5,6,1,1,1,1,1,1,5.5834963087817,1.0745954986239
"104","4/11/2024 10:25","4/11/2024 10:27","IP Address",75,"4/11/2024 10:27","anonymous",NA,"OrderCDFE","Question A |Question B ","AB","CDFE","ABCDFE","A","B","C","D","F","E",1,2,3,4,6,5,1,1,1,1,1,-1,4.31748811353631,NA
"105","4/11/2024 10:27","4/11/2024 10:29","IP Address",165,"4/11/2024 10:29","anonymous",5,"OrderCDEF","Question A |Question B ","AB","CDEF","ABCDEF","A","B","C","D","E","F",1,2,3,4,5,6,1,1,1,1,1,1,5.10594547390058,0.979250566923966
"106","4/11/2024 10:26","4/11/2024 10:41","IP Address",896,"4/11/2024 10:41","anonymous",3,"OrderDCEF","Question A |Question B ","AB","DCEF","ABDCEF","A","B","D","C","E","F",1,2,4,3,5,6,1,-1,1,1,1,1,6.79794041297493,0.441310134798186
"107","4/11/2024 13:07","4/11/2024 13:15","IP Address",484,"4/11/2024 13:15","anonymous",1,"OrderDCFE","Question A |Question B ","AB","DCFE","ABDCFE","A","B","D","C","F","E",1,2,4,3,6,5,1,-1,1,1,1,-1,6.18208490671663,0.161757726574336
"108","4/12/2024 8:11","4/12/2024 8:19","IP Address",484,"4/12/2024 8:19","anonymous",4,"OrderFDEC","Question A |Question B ","AB","FDEC","ABFDEC","A","B","F","D","E","C",1,2,6,4,5,3,1,-1,-1,-1,-1,-1,6.18208490671663,0.647030906297345
"109","4/12/2024 8:17","4/12/2024 8:22","IP Address",328,"4/12/2024 8:22","anonymous",2,"OrderDEFC","Question B |Question A ","BA","DEFC","BADEFC","B","A","D","E","F","C",2,1,4,5,6,3,-1,-1,-1,-1,1,1,5.79301360838414,0.345243449299934
"110","4/12/2024 8:11","4/12/2024 8:23","IP Address",736,"4/12/2024 8:23","anonymous",1,"OrderDFCE","Question B |Question A ","BA","DFCE","BADFCE","B","A","D","F","C","E",2,1,4,6,3,5,-1,-1,1,-1,1,-1,6.60123011872888,0.15148691713728
"111","4/12/2024 8:10","4/12/2024 8:25","IP Address",925,"4/12/2024 8:25","anonymous",3,"OrderFCDE","Question B |Question A ","BA","FCDE","BAFCDE","B","A","F","C","D","E",2,1,6,3,4,5,-1,1,1,-1,-1,-1,6.82979373751242,0.439251918183502
